Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
1870	-2148.268	-2136.383	-11.88575	9.963461	0.01527483
1880	-2148.492	-2137.163	-11.32886	9.430956	0.0156546
1890	-2148.704	-2133.936	-14.76823	12.85889	0.01564171
1900	-2148.037	-2134.349	-13.68838	11.69366	0.01587821
1910	-2148.184	-2135.397	-12.78748	10.83803	0.01508774
1920	-2148.798	-2133.928	-14.86929	12.97172	0.01561894
1930	-2149.467	-2135.744	-13.72287	11.64543	0.01722309
1940	-2147.883	-2135.062	-12.82114	10.83281	0.01568735
1950	-2148.038	-2135.546	-12.49175	10.53503	0.01532322
1960	-2148.33	-2134.542	-13.78794	11.84629	0.01513724
1970	-2149.535	-2138.427	-11.10788	9.295379	0.01460054
1980	-2148.015	-2134.353	-13.66231	11.6776	0.01571242
1990	-2148.198	-2134.565	-13.63298	11.61131	0.01627388
2000	-2148.56	-2133.957	-14.60333	12.66903	0.01578217
2010	-2148.635	-2137.464	-11.17138	9.297503	0.01552075
2020	-2149.891	-2136.189	-13.70237	11.61147	0.0174403
2030	-2148.565	-2137.318	-11.24714	9.350269	0.01578275
2040	-2148.003	-2135.8	-12.20286	10.23261	0.01574948
2050	-2148.373	-2135.07	-13.30374	11.25881	0.0165605
2060	-2148.235	-2134.124	-14.11096	12.15269	0.01561244
2070	-2148.064	-2134.622	-13.44231	11.42422	0.01615198
2080	-2148.552	-2134.014	-14.53791	12.61803	0.01549378
2090	-2148.463	-2135.241	-13.22191	11.1713	0.01664899
2100	-2150.781	-2136.336	-14.44503	12.37689	0.01766213
2110	-2148.734	-2134.132	-14.60243	12.70556	0.01524727
2120	-2148.009	-2135.24	-12.76953	10.80578	0.01531425
