generation,N_shifts,logPrior,logLik,eventRate,acceptRate
6720000,26,-1.96015,-3242.88,27.6861,0.43075
6740000,37,-7.68248,-3251.03,35.883,0.477
6760000,35,-2.395,-3258.33,27.8507,0.451
6780000,25,-3.18042,-3255.46,24.7752,0.458917
6800000,30,1.69915,-3228.67,42.2091,0.444
6820000,27,-7.14305,-3243.73,23.1599,0.439
6840000,33,-2.19515,-3243.93,31.5058,0.45
6860000,34,-4.82092,-3259.19,30.5387,0.494
6880000,31,4.08622,-3267.53,30.357,0.461033
6900000,24,-4.13219,-3262.2,25.7595,0.463625
6920000,19,5.7385,-3260.28,18.0566,0.460077
6940000,24,0.26505,-3282.86,25.5833,0.469
6960000,30,-2.26915,-3252.8,26.3714,0.485
6980000,30,1.29415,-3274.98,26.0211,0.464
7000000,22,-2.16326,-3269.33,28.3094,0.431375
7020000,25,2.55478,-3266.24,30.2792,0.466
7040000,24,4.99931,-3267.94,28.8946,0.445714
7060000,29,0.905771,-3235.93,31.7406,0.477
7080000,24,-1.7361,-3245.75,26.0049,0.452
7100000,22,5.94936,-3258.83,28.6139,0.4508
7120000,17,1.19351,-3263.77,11.5185,0.439429
7140000,19,-5.74175,-3275.11,20.3301,0.45275
7160000,21,4.26861,-3270.74,20.7095,0.430667
7180000,24,-5.16423,-3260,25.4584,0.475
7200000,21,-2.70352,-3263.02,26.7678,0.439667
7220000,29,-0.886238,-3266.72,26.827,0.444
7240000,24,5.61727,-3245.22,25.3071,0.433
7260000,24,0.0648403,-3262.68,25.203,0.475
7280000,25,-1.75782,-3228.49,25.4838,0.44
7300000,32,-15.0615,-3241.2,31.215,0.454
7320000,35,-6.45948,-3234.1,26.701,0.484
7340000,32,3.43105,-3233.1,35.9547,0.435
7360000,23,5.46233,-3245.72,17.6325,0.423
7380000,35,-5.648,-3256.1,31.5481,0.4712
7400000,36,4.13801,-3241.09,43.8741,0.459
7420000,31,-12.0142,-3225.7,23.0955,0.442
7440000,34,-2.90393,-3222.34,26.2386,0.46
7460000,37,5.23224,-3234.58,35.6493,0.454636
7480000,37,1.27108,-3205.88,46.5376,0.44
7500000,37,4.33309,-3203.97,27.2115,0.452667
7520000,31,-2.46998,-3230.87,29.1799,0.4528
7540000,30,6.24119,-3228.68,26.669,0.438
7560000,32,0.0772248,-3258.77,21.9472,0.454
7580000,27,0.0549622,-3262.69,29.107,0.482
7600000,26,10.9021,-3248.49,29.4206,0.423
7620000,23,-3.26368,-3235.77,23.422,0.447
7640000,24,-9.82251,-3270.13,27.6469,0.484
7660000,26,-7.78943,-3254.09,27.7387,0.494
7680000,29,2.11038,-3254.62,27.9364,0.4665
7700000,28,4.4241,-3231.42,32.2763,0.465
7720000,24,6.13761,-3249.1,23.4083,0.422
7740000,33,4.66324,-3235.41,25.9169,0.498
7760000,24,4.62792,-3238.93,29.1549,0.4168
7780000,32,7.06977,-3233.83,30.338,0.440385
7800000,24,4.33752,-3233.16,24.4397,0.478
7820000,31,6.4036,-3244.23,35.4855,0.452
7840000,33,10.6567,-3258.81,41.6386,0.49
7860000,33,-2.45049,-3239.89,30.9827,0.454667
7880000,20,-1.52014,-3252.67,11.9371,0.393
7900000,30,-1.58965,-3245.42,34.5004,0.453
7920000,25,3.34151,-3232.48,29.1732,0.43
7940000,29,8.56318,-3261.13,30.2607,0.483
7960000,27,-3.91774,-3238.07,34.2321,0.436
